year,apogee,proca,pruned,plot,score_factor
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,3
2019,Bloom,Yes,Yes,C.III,4
2019,Bloom,Yes,Yes,C.III,2
2019,Bloom,Yes,Yes,C.III,4
2018,Bloom,Yes,No,D.III,2
2018,Bloom,Yes,No,D.III,2
2018,Bloom,Yes,No,D.III,2
2018,Bloom,Yes,No,D.III,2
2018,Bloom,Yes,No,D.III,2
2018,Bloom,Yes,No,D.III,4
2018,Bloom,Yes,No,D.III,2
2018,Bloom,Yes,No,D.III,2
